X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
0.2374,0.3158,3.1964,2.49,0.3215,4.3993,3.9674,0.0377,-22,0.1633,0.2516,0.3663,1
0.2,0.3519,2.7937,2.8,0.271,4.0568,3.39,0.0566,-16,0.3354,0.2184,0.3722,1
0.2822,0.4871,2.0223,2.56,0.5252,4.2851,3.1185,0.0604,-17,0.2152,0.2946,0.3158,1
0.2393,0.3082,3.2199,2.35,0.2673,4.6168,4.0319,0.0528,-14,0.1324,0.2816,0.3234,1
0.3607,0.661,1.5214,1.78,0.3813,3.1089,2.2375,0.0717,-20,0.3625,0.292,0.3476,1
0.4033,0.6193,1.5761,1.67,0.7127,3.3186,2.2749,0.1604,6,0.3458,0.2321,0.3084,1
0.2578,0.4964,2.044,2.2,0.3499,3.2821,2.6723,0.0522,-9,0.2645,0.2479,0.3441,1
0.2486,0.4268,2.3691,2.31,0.3389,3.6757,2.9766,0.0821,-6,0.2312,0.2883,0.3134,1
0.1068,0.2848,3.3883,3.39,0.3352,4.1782,3.8643,0.0597,-26,0.3886,0.2943,0.3784,1
0.2578,0.388,2.5867,2.62,0.3204,4.5045,3.4963,0.0746,-9,0.2484,0.2756,0.3516,1
0.1925,0.3329,2.9703,2.79,0.4019,4.1268,3.763,0.0642,-18,0.122,0.2691,0.3672,1
0.2355,0.3928,2.5223,2.38,0.3327,3.6937,3.0476,0.0717,-12,0.1569,0.23,0.312,1
0.3832,0.6435,1.6585,1.57,0.5009,3.2039,2.5949,0.1057,5,0.2333,0.2504,0.3642,1
0.2393,0.3391,2.9873,2.66,0.372,4.1066,3.539,0.0604,-13,0.2404,0.2455,0.374,1
0.6037,0.9633,1.0652,1.28,0.3421,3.3212,1.8634,0.1358,-1,0.2221,0.2961,0.3355,1
0.4523,0.5931,1.6859,1.71,0.3551,3.7171,2.6,0.0491,-29,0.2701,0.2441,0.3454,1
0.4935,0.7993,1.3563,1.39,0.5402,3.0676,2.2153,0.1434,13,0.2895,0.2902,0.3031,1
0.3888,0.5257,2.0482,1.92,0.5327,3.6049,2.7354,0.1245,1,0.2019,0.2338,0.3968,1
0.9259,1.3507,0.7403,0.77,1.6667,3.4402,2.1302,0.3704,-8,0.1139,0.2106,0.3201,0
0.3907,0.7148,1.5794,1.55,0.6318,4.3216,3.3872,0.1132,35,0.307,0.2603,0.3454,1
0.1302,0.2677,3.662,3.5,0.1866,4.6257,4.1392,0.0439,6,0.3434,0.2782,0.3744,1
0.2972,0.4044,2.403,2.46,0.1757,4.7308,3.5154,0.0195,2,0.2179,0.2163,0.3509,1
0.2516,0.4357,2.4347,2.66,0.4555,4.3123,3.2784,0.0829,14,0.1412,0.2661,0.3402,1
0.2321,0.462,2.1831,2.47,0.3232,3.8182,2.8095,0.078,12,0.1783,0.2942,0.3726,1
0.3644,0.6108,1.6975,1.97,0.4751,4.0407,2.7209,0.1317,14,0.1895,0.295,0.3382,1
